t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=ff3b1ea706fd l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=3c83762e52da l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=7597dcc73666 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=156dc4b0a688 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=fc7548f01db0 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=3195d86992d6 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=52924b277e8c l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=439c650caf7f l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=469b8c308136 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=faf1b7486359 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=8802adfc11ae l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=8b00ae03ae5d l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=c2a66d9bd8cc l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=2ad0e04b75be l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=20a586c4739c l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:17+0200 lvl=info msg="join connections" obj=join id=bb097c02f3e4 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:18+0200 lvl=info msg="join connections" obj=join id=1d7f30d5ee7a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:20+0200 lvl=info msg="join connections" obj=join id=7bddc7baf26b l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:20+0200 lvl=info msg="join connections" obj=join id=1d137808b224 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:21+0200 lvl=info msg="join connections" obj=join id=1660a75a3042 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:21+0200 lvl=info msg="join connections" obj=join id=d7919970564b l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:21+0200 lvl=info msg="join connections" obj=join id=12bf6ec7a570 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:21+0200 lvl=info msg="join connections" obj=join id=73430b48491e l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:25+0200 lvl=info msg="join connections" obj=join id=7e74c28e90bd l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:25+0200 lvl=info msg="join connections" obj=join id=6005803f07a3 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:25+0200 lvl=info msg="join connections" obj=join id=9a606ec1fc21 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:27+0200 lvl=info msg="join connections" obj=join id=1625b1bcab2c l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:27+0200 lvl=info msg="join connections" obj=join id=656b5c7b458f l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:28+0200 lvl=info msg="join connections" obj=join id=eac0971ecd2a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T18:00:26+0200 lvl=info msg="join connections" obj=join id=60bb07814800 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T18:01:24+0200 lvl=info msg="join connections" obj=join id=4528133d5688 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T18:01:24+0200 lvl=info msg="join connections" obj=join id=44c395a7bee7 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T18:01:24+0200 lvl=info msg="join connections" obj=join id=06d734d2ccc6 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T18:01:25+0200 lvl=info msg="join connections" obj=join id=8df4e508471c l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T18:01:25+0200 lvl=info msg="join connections" obj=join id=8d09d06fe12b l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T18:01:34+0200 lvl=info msg="join connections" obj=join id=9a3ead42dbaa l=127.0.0.1:3000 r=41.216.86.42:20022
